date,state,product,production
2000-01-01,Johor,logs,193700
2001-01-01,Johor,logs,181927
2002-01-01,Johor,logs,198342
2003-01-01,Johor,logs,142846
2004-01-01,Johor,logs,159152
2005-01-01,Johor,logs,96419
2006-01-01,Johor,logs,213816
2007-01-01,Johor,logs,171047
2008-01-01,Johor,logs,105428
2009-01-01,Johor,logs,70740
2010-01-01,Johor,logs,72777
2011-01-01,Johor,logs,70790
2012-01-01,Johor,logs,50951
2013-01-01,Johor,logs,90775
2014-01-01,Johor,logs,70239
2015-01-01,Johor,logs,54536
2016-01-01,Johor,logs,47472
2017-01-01,Johor,logs,34739
2018-01-01,Johor,logs,49114
2019-01-01,Johor,logs,35
2020-01-01,Johor,logs,21307
2021-01-01,Johor,logs,4202
2000-01-01,Kedah,logs,164183
2001-01-01,Kedah,logs,157005
2002-01-01,Kedah,logs,141622
2003-01-01,Kedah,logs,138246
2004-01-01,Kedah,logs,147042
2005-01-01,Kedah,logs,109480
2006-01-01,Kedah,logs,179453
2007-01-01,Kedah,logs,178092
2008-01-01,Kedah,logs,233046
2009-01-01,Kedah,logs,209330
2010-01-01,Kedah,logs,202477
2011-01-01,Kedah,logs,367822
2012-01-01,Kedah,logs,304078
2013-01-01,Kedah,logs,227543
2014-01-01,Kedah,logs,293553
2015-01-01,Kedah,logs,353461
2016-01-01,Kedah,logs,457791
2017-01-01,Kedah,logs,449255
2018-01-01,Kedah,logs,252968
2019-01-01,Kedah,logs,162218
2020-01-01,Kedah,logs,85102
2021-01-01,Kedah,logs,127877
2000-01-01,Kelantan,logs,1339501
2001-01-01,Kelantan,logs,944700
2002-01-01,Kelantan,logs,873026
2003-01-01,Kelantan,logs,919466
2004-01-01,Kelantan,logs,694256
2005-01-01,Kelantan,logs,815585
2006-01-01,Kelantan,logs,1066479
2007-01-01,Kelantan,logs,1442811
2008-01-01,Kelantan,logs,1408715
2009-01-01,Kelantan,logs,1265291
2010-01-01,Kelantan,logs,1269968
2011-01-01,Kelantan,logs,1128921
2012-01-01,Kelantan,logs,1111040
2013-01-01,Kelantan,logs,1050474
2014-01-01,Kelantan,logs,954302
2015-01-01,Kelantan,logs,887666
2016-01-01,Kelantan,logs,830567
2017-01-01,Kelantan,logs,670409
2018-01-01,Kelantan,logs,916081
2019-01-01,Kelantan,logs,1181211
2020-01-01,Kelantan,logs,584701
2021-01-01,Kelantan,logs,641337
2000-01-01,Melaka,logs,4310
2001-01-01,Melaka,logs,1610
2002-01-01,Melaka,logs,2830
2004-01-01,Melaka,logs,4407
2005-01-01,Melaka,logs,111
2006-01-01,Melaka,logs,1508
2007-01-01,Melaka,logs,1573
2008-01-01,Melaka,logs,692
2009-01-01,Melaka,logs,679
2010-01-01,Melaka,logs,778
2011-01-01,Melaka,logs,1163
2013-01-01,Melaka,logs,16
2014-01-01,Melaka,logs,4895
